City,NoOfReviews,CompanyName,AverageReview,URL,Zipcode,Phone,State,Address,row
,,,,,,,,,1574
,,,,,,,,,1575
,,,,,,,,,1576
,,,,,,,,,1577
,,,,,,,,,1578
,,,,,,,,,1579
,,,,,,,,,1580
,,,,,,,,,1581
,,,,,,,,,1582
,,,,,,,,,1583
,,,,,,,,,1584
,,,,,,,,,1585
,,,,,,,,,1586
,,,,,,,,,1587
,,,,,,,,,1588
,,,,,,,,,1589
,,,,,,,,,1590
,,,,,,,,,1591
,,,,,,,,,1592
,,,,,,,,,1593
,,,,,,,,,1594
,,,,,,,,,1595
,,,,,,,,,1596
,,,,,,,,,1597
,,,,,,,,,1598
,,,,,,,,,1599
,,,,,,,,,1600
,,,,,,,,,1601
,,,,,,,,,1602
,,,,,,,,,1603
,,,,,,,,,1604
,,,,,,,,,1605
,,,,,,,,,1606
,,,,,,,,,1607
,,,,,,,,,1608
,,,,,,,,,1609
,,,,,,,,,1610
,,,,,,,,,1611
,,,,,,,,,1612
,,,,,,,,,1613
,,,,,,,,,1614
,,,,,,,,,1615
,,,,,,,,,1616
,,,,,,,,,1633
,,,,,,,,,1634
,,,,,,,,,1635
,,,,,,,,,1636
,,,,,,,,,1637
,,,,,,,,,1656
,,,,,,,,,1657
,,,,,,,,,1658
,,,,,,,,,1659
,,,,,,,,,1660
,,,,,,,,,1687
,,,,,,,,,1688
,,,,,,,,,1691
,,,,,,,,,1692
,,,,,,,,,1693
,,,,,,,,,1696
,,,,,,,,,1882
,,,,,,,,,2138
,,,,,,,,,2149
,,,,,,,,,2170
,,,,,,,,,2171
,,,,,,,,,2172
,,,,,,,,,2177
,,,,,,,,,2200
,,,,,,,,,2223
,,,,,,,,,2224
,,,,,,,,,2225
,,,,,,,,,2240
,,,,,,,,,2241
,,,,,,,,,2250
,,,,,,,,,2251
,,,,,,,,,2252
,,,,,,,,,2253
,,,,,,,,,2254
,,,,,,,,,2255
,,,,,,,,,2256
,,,,,,,,,2257
,,,,,,,,,2258
,,,,,,,,,2259
,,,,,,,,,2260
,,,,,,,,,2261
,,,,,,,,,2262
,,,,,,,,,2263
,,,,,,,,AVE Union,2264
,,,,,,,,,2265
,,,,,,,,,2266
,,,,,,,,,2267
Maplewood,,,,,07040,,NJ,88 Parker Ave,2268
Maplewood,,,,,07040,,NJ,36 Parker Ave,2269
Maplewood,,,,,07040,,NJ,124 Parker Ave,2270
Maplewood,,,,,07040,,NJ,165 Parker Ave,2271
Maplewood,,,,,07040,,NJ,125 Parker Ave,2272
,,,,,,,,,2273
,,,,,,,,,2274
Roselle,,,,,07203,,NJ,14 9th Ave,2275
,,,,,,,,,2276
,,,,,,,,,2277
Roselle,,,,,07203,,NJ,68 9th Ave,2278
Roselle,,,,,07203,,NJ,63 9th Ave,2279
,,,,,,,,,2296
,,,,,,,,,2305
,,,,,,,,,2322
,,,,,,,,,2323
,,,,,,,,,2388
Rahway,,,,,07065,,NJ,148 James Terrace,2401
,,,,,,,,,2404
Westfield,,,,,07090,,NJ,221 Virginia St,2407
Westfield,,,,,07090,,NJ,130 Boynton Ct,2408
,,,,,,,,,2410
,,,,,,,,,2411
,,,,,,,,,2446
,,,,,,,,Westfield Leader,2447
,,,,,,,,,2448
,,,,,,,,,2449
,,,,,,,,Allstate Insurance: Ron Bansky,2450
,,,,,,,,,2451
,,,,,,,,,2452
,,,,,,,,,2453
,,,,,,,,,2454
,,,,,,,,,2455
,,,,,,,,,2456
,,,,,,,,,2457
,,,,,,,,,2458
,,,,,,,,,2459
,,,,,,,,,2460
,,,,,,,,,2461
,,,,,,,,,2462
,,,,,,,,,2463
,,,,,,,,,2464
,,,,,,,,,2465
,,,,,,,,,2484
