City,NoOfReviews,CompanyName,AverageReview,URL,Zipcode,Phone,State,Address
 Woodland Hills,8 reviews,Essex Property Trust Inc,3.9,essexpropertytrust.com, CA 91367,(818) 227-2100, United States,"22120 Clarendon St #200, Woodland Hills"
 Los Angeles,16 reviews,GHP Management Corporation,2.8,ghpmgmt.com, CA 90017,(213) 213-0190, United States,"1082 W 7th St, Los Angeles"
 Cerritos,15 reviews,Prologis,4.6,prologis.com, CA 90703,(949) 251-6100, United States,"1777 Center Ct Dr N # 100, Cerritos"
 Antioch,,"Select 1 Realty, Property Management",,select1realty.com, CA 94509,(925) 706-9000, United States,"1500 A St, Antioch"
 Antioch,,"E.E.N. Property Management, Inc.",,eenpropertymanagementinc.com, CA 94509,(925) 778-3366, United States,"1000 Apollo Ct, Antioch"
 Antioch,,Property Upsurge Inc,,managebuilding.com, CA 94509,(925) 363-5328, United States,"100 E 18th St, Antioch"
 Antioch,,Bob Gunson Real Estate,,bobgunson.com, CA 94509,(925) 778-6000, United States,"320 E 18th St, Antioch"
 Antioch,,Aloha Property Management,,, CA 94509,(925) 432-1728, United States,"2006 A St #200, Antioch"
 Antioch,,First Realty Pryor & Associates,,markpryor.com, CA 94509,(925) 754-7000, United States,"2321 Buchanan Rd, Antioch"
 Antioch,,Anctioch Property Management,,, CA 94509,(925) 778-1793, United States,"2201 W 10th St, Antioch"
 Antioch,,Waypoint Homes,,waypointhomes.com, CA 94531,(844) 641-4663, United States,"3397 Deer Valley Rd, Antioch"
 Antioch,12 reviews,Twin Creek Apartments,2.4,twincreeksapts.com, CA 94509,(866) 865-2269, United States,"1111 James Donlon Blvd, Antioch"
Pittsburg,,Bruce Croskey Real Estate,,homesbycroskey.com, CA,(800) 985-8923, United States,"Pittsburg, CA"
Pittsburg,,Bruce Croskey Real Estate,,homesbycroskey.com, CA,(925) 219-8488, United States,"Pittsburg, CA"
 Pittsburg,,New Way Management Services,,newwaymgmt.com, CA 94565,(925) 522-5410, United States,"158 E 3rd St, Pittsburg"
Oakley,,A. Meadows Property Management,,, CA,(925) 625-7975, United States,"Oakley, CA"
 Antioch,,Windermere/Signature Collection,,, CA 94531,(925) 778-9445, United States,"5087 Lone Tree Way, Antioch"
 Pittsburg,,Property Upsurge,,propertyupsurge.com, CA 94565,(925) 363-5328, United States,"501 Railroad Ave, Pittsburg"
 Walnut Creek,,Spm Properties Inc,,spmproperties.com, CA 94596,(925) 930-7760, United States,"1330 N Broadway # C, Walnut Creek"
 Brentwood,,Best Property Management Inc,,bestproperty4u.com, CA 94513,(925) 392-2411, United States,"191 Sand Creek Rd # 100, Brentwood"
 Walnut Creek,,"Irvin Real Estate, Inc.",,mattirvin.com, CA 94597,(925) 472-6534, United States,"1255 Treat Blvd #300, Walnut Creek"
 Clayton,8 reviews,Golden Gate Real Estate & Management,4.9,goldengateteam.com, CA 94517,(925) 672-4062, United States,"8040 Kelok Way, Clayton"
 San Ramon,,Castle Management,,castlemanagement.com, CA 94583,(925) 328-1240, United States,"12885 Alcosta Blvd, San Ramon"
 Pleasant Hill,,Stokley Properties Inc,,stokleyproperties.net, CA 94523,(925) 658-1415, United States,"2300 Contra Costa Blvd, Pleasant Hill"
 Brentwood,,Marples Property Management,,marplespropertymanagement.com, CA 94513,(925) 699-5550, United States,"8340 Brentwood Blvd, Brentwood"
 Pleasant Hill,,Cardoza Properties Inc,,cardozainc.com, CA 94523,(925) 691-0800, United States,"101 Ellinwood Dr, Pleasant Hill"
 Concord,,Real Property Management Select,,propertymanagementselect.com, CA 94520,(925) 326-6060, United States,"2280 Diamond Blvd #150, Concord"
 Brentwood,,WR Properties,,wrpropertiesbayarea.com, CA 94513,(925) 634-3100, United States,"9040 Brentwood Blvd #B, Brentwood"
 Walnut Creek,,Rpm Rent Solutions,,realpropertymgt.com, CA 94597,(925) 262-8145, United States,"2950 Buskirk Ave, Walnut Creek"
 San Ramon,,Park Place Property Management,,parkplpm.com, CA 94583,(925) 824-4817, United States,"2682 Bishop Dr Suite 101, San Ramon"
 Danville,,Metro Property Management Co,,metrorentals.net, CA 94526,(925) 556-1976, United States,"313 Sycamore Valley Rd W, Danville"
 Concord,8 reviews,Contra Costa Properties,4.9,, CA 94518,(925) 687-0111, United States,"950 Detroit Ave, Concord"
 Walnut Creek,,Creekside Terrace Apartments,,fpimgt.com, CA 94596,(925) 939-1850, United States,"1390 Creekside Dr, Walnut Creek"
 Walnut Creek,,Creekside Terrace Apartments,,fpimgt.com, CA 94596,(925) 939-1850, United States,"1390 Creekside Dr, Walnut Creek"
